,datetime,averageValenceScore
0,0,0.391993567251462
1,1,0.3716401515151515
2,2,0.3308825
3,3,0.3637576470588235
4,4,0.44476590909090913
5,5,0.45534740259740253
6,6,0.49204289044289046
7,7,0.4402057534246575
8,8,0.42343247950819674
9,9,0.41966972027972027
10,10,0.4071336271186441
11,11,0.4212183229813664
12,12,0.4111024946543122
13,13,0.41344159566227734
14,14,0.402112289395441
15,15,0.44595620078740156
16,16,0.4512670577617328
17,17,0.47590127872127874
18,18,0.42689481012658226
19,19,0.45946346704871055
20,20,0.4437318811881188
21,21,0.45139437340153454
22,22,0.45139434782608695
23,23,0.3570464435146444
